id,index,millis,gas_index,mes_index,temperature,pressure,humidity,gas_resistance,status
765274459,1,740,0,0,28.36,93380.25,39.84,203619.02,b0
765272923,2,786,0,0,28.49,93405.08,39.78,203376.36,b0
765271642,3,832,0,0,28.78,93364.80,38.77,298803.63,b0
765289819,4,878,0,0,29.11,93386.38,38.04,202651.89,b0
765281116,5,925,0,0,29.53,93419.05,36.42,216811.34,b0
765280092,6,971,0,0,29.45,93410.63,36.26,187271.39,b0
765271896,7,1017,0,0,29.52,93405.05,37.18,187066.13,b0
765285466,8,1063,0,0,29.24,93382.13,37.06,254473.16,b0
765274459,1,1109,0,0,28.83,93391.63,39.90,191401.88,b0
765272923,2,1155,0,0,28.85,93413.95,39.85,192916.36,b0
765271642,3,1202,0,0,29.05,93373.09,38.84,282716.72,b0
765289819,4,1248,0,0,29.33,93385.48,38.11,196356.66,b0
765281116,5,1294,0,0,29.84,93417.77,36.52,210526.31,b0
765280092,6,1340,0,0,29.77,93413.02,36.38,184238.94,b0
765271896,7,1386,0,0,29.85,93408.76,37.29,176978.92,b0
765285466,8,1432,0,0,29.60,93386.52,37.15,237807.70,b0
765274459,1,1479,0,0,28.85,93393.05,39.90,192698.53,b0
765272923,2,1525,0,0,28.90,93414.05,39.90,193902.67,b0
765271642,3,1571,0,0,29.14,93371.71,38.88,285316.25,b0
765289819,4,1617,0,0,29.41,93385.40,38.15,198873.56,b0
765281116,5,1663,0,0,30.00,93421.04,36.60,211964.39,b0
765280092,6,1709,0,0,29.94,93415.41,36.41,184637.58,b0
765271896,7,1755,0,0,30.04,93411.78,37.33,179775.28,b0
765285466,8,1801,0,0,29.79,93386.36,37.22,239812.64,b0
765274459,1,1848,0,0,28.87,93393.20,39.93,193682.63,b0
765272923,2,1894,0,0,28.94,93413.24,39.93,194565.84,b0
765271642,3,1940,0,0,29.19,93371.52,38.89,287964.00,b0
765289819,4,1986,0,0,29.46,93386.95,38.16,199454.61,b0
765281116,5,2032,0,0,30.08,93421.08,36.61,212889.81,b0
765280092,6,2078,0,0,30.02,93415.80,36.44,185238.78,b0
765271896,7,2124,0,0,30.13,93411.18,37.36,180345.19,b0
765285466,8,2170,0,0,29.87,93384.41,37.25,240658.05,b0
765274459,1,2217,0,0,28.90,93392.75,39.90,194455.00,b0
765272923,2,2263,0,0,28.97,93415.49,39.92,194787.91,b0
765271642,3,2309,0,0,29.24,93374.33,38.89,289429.06,b0
765289819,4,2355,0,0,29.50,93386.09,38.16,198873.56,b0
765281116,5,2401,0,0,30.13,93419.83,36.61,212889.81,b0
765280092,6,2447,0,0,30.07,93414.21,36.46,186046.52,b0
765271896,7,2494,0,0,30.18,93412.02,37.37,180345.19,b0
765285466,8,2540,0,0,29.93,93388.03,37.26,241680.44,b0
765274459,1,2586,0,0,28.90,93391.83,39.90,195569.14,b0
765272923,2,2632,0,0,29.00,93414.48,39.93,195345.28,b0
765271642,3,2678,0,0,29.26,93372.70,38.88,290414.06,b0
765289819,4,2724,0,0,29.53,93386.62,38.17,200391.39,b0
765281116,5,2770,0,0,30.17,93419.29,36.62,213689.48,b0
765280092,6,2817,0,0,30.12,93417.15,36.46,186249.55,b0
765271896,7,2863,0,0,30.22,93411.77,37.37,181689.14,b0
765285466,8,2909,0,0,29.97,93387.37,37.26,242366.86,b0
765274459,1,2955,0,0,28.92,93393.06,39.90,194455.00,b0
765272923,2,3001,0,0,29.01,93414.13,39.93,195793.50,b0
765271642,3,3047,0,0,29.28,93372.08,38.88,291405.81,b0
765289819,4,3094,0,0,29.56,93387.81,38.17,200509.11,b0
765281116,5,3140,0,0,30.20,93420.46,36.61,213957.38,b0
765280092,6,3186,0,0,30.14,93416.88,36.44,190760.06,b0
765271896,7,3232,0,0,30.25,93413.05,37.35,181303.11,b0
765285466,8,3278,0,0,29.99,93388.49,37.25,242884.25,b0
765274459,1,3324,0,0,28.93,93390.49,39.89,195345.28,b0
765272923,2,3370,0,0,29.02,93415.97,39.93,195681.25,b0
765271642,3,3417,0,0,29.30,93374.04,38.87,291405.81,b0
765289819,4,3463,0,0,29.57,93387.52,38.17,200863.08,b0
765281116,5,3509,0,0,30.21,93418.25,36.61,214900.31,b0
765280092,6,3555,0,0,30.15,93413.10,36.45,187271.39,b0
765271896,7,3601,0,0,30.27,93413.14,37.36,182076.81,b0
765285466,8,3647,0,0,30.00,93388.76,37.23,242194.89,b0
765274459,1,3694,0,0,28.94,93392.12,39.90,195569.14,b0
765272923,2,3740,0,0,29.03,93416.91,39.91,197036.75,b0
765271642,3,3786,0,0,29.31,93372.99,38.87,290661.38,b0
765289819,4,3832,0,0,29.59,93387.63,38.15,200981.36,b0
765281116,5,3878,0,0,30.23,93421.34,36.59,214225.94,b0
765280092,6,3924,0,0,30.17,93414.52,36.42,190973.52,b0
765271896,7,3970,0,0,30.28,93414.10,37.33,182271.27,b0
765285466,8,4016,0,0,30.01,93388.34,37.21,244800.38,b0
765274459,1,4063,0,0,28.94,93391.03,39.87,195905.88,b0
765272923,2,4109,0,0,29.03,93415.82,39.90,196923.08,b0
765271642,3,4155,0,0,29.33,93374.57,38.87,291157.25,b0
765289819,4,4201,0,0,29.59,93387.66,38.15,200981.36,b0
