datetime,timestamp,temperature,pressure,humidity,gas_resistance,status
NA,20043,20.97,93233.83,58.13,248543.69,B0
NA,30042,21.12,93234.14,56.71,251658.89,B0
NA,40042,21.15,93233.98,56.10,262496.78,B0
NA,50042,21.19,93235.28,55.92,267014.34,B0
NA,60042,21.22,93232.94,55.72,269331.94,B0
NA,70042,21.25,93236.82,55.81,286754.41,B0
NA,80042,21.27,93235.23,55.61,286754.41,B0
NA,90042,21.31,93234.03,55.60,291654.81,B0
NA,100042,21.32,93231.98,55.47,305489.25,B0
NA,110042,21.31,93232.40,55.34,342933.69,B0
NA,120042,21.33,93233.39,55.30,323436.50,B0
NA,130042,21.37,93233.13,55.11,302511.09,B0
NA,140042,21.42,93232.84,54.59,307415.19,B0
NA,150042,21.45,93232.86,54.39,282951.09,B0
NA,160042,21.48,93231.28,54.23,272993.88,B0
NA,170042,21.52,93231.18,54.20,260692.47,B0
NA,180042,21.55,93228.94,54.04,263917.53,B0
NA,190042,21.58,93229.41,54.12,271042.88,B0
NA,200042,21.58,93229.83,53.70,260891.72,B0
NA,210042,21.61,93229.52,53.80,258716.53,B0
NA,220042,21.63,93231.69,53.73,247462.55,B0
NA,230042,21.66,93229.64,53.82,239140.59,B0
NA,240042,21.66,93229.56,53.89,242023.16,B0
NA,250042,21.67,93229.45,54.15,239812.64,B0
NA,260042,21.66,93228.72,54.22,251658.89,B0
NA,270042,21.66,93229.86,54.32,259109.31,B0
