datetime,timestamp,temperature,pressure,humidity,gas_resistance,gas_resistance_math,gas_wait,res_heat,status
NA,20100,22.74,93040.10,56.41,64434.937500,6.443494e+04,255,68,B0
NA,30202,22.84,93031.67,53.67,66081.570313,6.608157e+04,255,68,B0
NA,40303,22.79,93025.40,53.37,67121.132813,6.712113e+04,255,68,B0
NA,50404,22.80,93022.77,53.89,65473.144531,6.547314e+04,255,68,B0
NA,60505,22.94,93018.69,54.59,64483.628906,6.448363e+04,255,68,B0
NA,70606,23.07,93019.01,54.74,62822.085937,6.282209e+04,255,68,B0
NA,80707,23.09,93016.81,54.59,64630.144531,6.463014e+04,255,68,B0
NA,90808,23.11,93019.99,54.11,65523.417969,6.552342e+04,255,68,B0
NA,100909,23.16,93017.10,55.16,65928.406250,6.592841e+04,255,68,B0
NA,111010,23.19,93020.20,54.52,64630.144531,6.463014e+04,255,68,B0
NA,121111,23.22,93020.13,54.59,66441.734375,6.644173e+04,255,68,B0
NA,131212,23.17,93022.66,53.03,70213.929688,7.021393e+04,255,68,B0
NA,141313,23.19,93018.41,54.78,68577.554688,6.857755e+04,255,68,B0
NA,151414,23.25,93018.82,55.01,66701.406250,6.670141e+04,255,68,B0
NA,161515,23.28,93018.89,54.51,67546.171875,6.754617e+04,255,68,B0
NA,171616,23.35,93019.44,55.60,66338.429688,6.633843e+04,255,68,B0
NA,181717,23.42,93019.95,54.61,65222.929687,6.522293e+04,255,68,B0
NA,191818,23.39,93029.46,53.34,70855.242188,7.085524e+04,255,68,B0
NA,201919,23.34,93020.28,52.14,73163.757813,7.316376e+04,255,68,B0
NA,212020,23.34,93019.52,53.10,67015.703125,6.701570e+04,255,68,B0
NA,222121,23.46,93018.48,54.47,69584.125000,6.958412e+04,255,68,B0
NA,232223,23.44,93023.81,52.62,72665.343750,7.266534e+04,255,68,B0
NA,242324,23.36,93021.30,52.00,73038.515625,7.303852e+04,255,68,B0
NA,252425,23.29,93021.13,52.19,74181.398438,7.418140e+04,255,68,B0
NA,262526,23.20,93022.18,51.93,75227.742188,7.522774e+04,255,68,B0
NA,272627,23.11,93021.13,51.90,74375.359375,7.437536e+04,255,68,B0
NA,282728,23.02,93019.20,52.55,72295.960938,7.229596e+04,255,68,B0
NA,292829,22.95,93020.13,52.68,73289.437500,7.328944e+04,255,68,B0
NA,302930,22.89,93022.17,52.75,73478.757813,7.347876e+04,255,68,B0
NA,313031,22.82,93021.55,52.73,73289.437500,7.328944e+04,255,68,B0
NA,323132,22.77,93023.58,52.73,71930.320313,7.193032e+04,255,68,B0
