id,index,millis,gas_index,mes_index,temperature,pressure,humidity,gas_resistance,status
765274459,1,1844,0,0,28.14,93378.14,42.58,136935.02,b0
765272923,2,1890,0,0,28.24,93401.34,42.69,136496.94,b0
765271642,3,1936,0,0,28.45,93361.63,41.92,210526.31,b0
765289819,4,1982,0,0,28.74,93377.34,41.15,142420.03,b0
765281116,5,2028,0,0,29.31,93414.11,39.64,151389.70,b0
765280092,6,2074,0,0,29.32,93403.52,39.38,133507.17,b0
765271896,7,2120,0,0,29.41,93399.13,40.43,131046.84,b0
765285466,8,2166,0,0,29.11,93373.57,40.33,166287.75,b0
765274459,1,2213,0,0,28.20,93379.47,42.52,136278.95,b0
765272923,2,2259,0,0,28.31,93402.61,42.64,134559.80,b0
765271642,3,2305,0,0,28.54,93363.88,41.85,208214.72,b0
765289819,4,2351,0,0,28.82,93377.63,41.07,140543.52,b0
765281116,5,2397,0,0,29.40,93413.34,39.56,150721.22,b0
765280092,6,2443,0,0,29.40,93403.02,39.30,131450.58,b0
765271896,7,2489,0,0,29.48,93398.55,40.32,129554.66,b0
765285466,8,2535,0,0,29.20,93375.82,40.23,165321.28,b0
765274459,1,2582,0,0,28.25,93381.02,42.44,135306.55,b0
765272923,2,2628,0,0,28.37,93403.68,42.56,133926.23,b0
765271642,3,2674,0,0,28.60,93362.83,41.75,208979.59,b0
765289819,4,2720,0,0,28.89,93378.88,41.00,140082.08,b0
765281116,5,2766,0,0,29.47,93413.59,39.52,148750.72,b0
765280092,6,2812,0,0,29.46,93404.02,39.20,131046.84,b0
765271896,7,2859,0,0,29.54,93397.92,40.23,129456.38,b0
765285466,8,2905,0,0,29.26,93374.73,40.14,165964.34,b0
765274459,1,2951,0,0,28.27,93378.42,42.33,135413.91,b0
765272923,2,2997,0,0,28.40,93403.20,42.47,133716.38,b0
765271642,3,3043,0,0,28.64,93361.70,41.62,207203.56,b0
765289819,4,3089,0,0,28.93,93380.19,40.90,141241.38,b0
765281116,5,3135,0,0,29.52,93411.25,39.40,148362.80,b0
765280092,6,3182,0,0,29.52,93404.77,39.13,130645.57,b0
765271896,7,3228,0,0,29.60,93399.55,40.14,129456.38,b0
765285466,8,3274,0,0,29.30,93375.51,40.04,165642.19,b0
765274459,1,3320,0,0,28.29,93377.66,42.26,135737.02,b0
765272923,2,3366,0,0,28.44,93402.94,42.37,134031.41,b0
765271642,3,3412,0,0,28.67,93362.62,41.53,208214.72,b0
765289819,4,3459,0,0,28.96,93381.27,40.80,140427.86,b0
765281116,5,3505,0,0,29.56,93412.16,39.30,148233.94,b0
765280092,6,3551,0,0,29.54,93403.30,39.03,130845.90,b0
765271896,7,3597,0,0,29.63,93400.48,40.03,129456.38,b0
765285466,8,3643,0,0,29.35,93377.04,39.94,164365.97,b0
