id,index,millis,gas_index,mes_index,temperature,pressure,humidity,gas_resistance,status
765270362,1,738,0,0,25.70,93507.29,47.35,602884.88,b0
765269850,2,784,0,0,25.75,93521.51,46.88,412903.22,b0
765286747,3,830,0,0,26.24,93548.52,45.66,376470.59,b0
765279836,4,876,0,0,25.59,93501.89,46.39,534446.75,b0
765271387,5,922,0,0,25.80,93535.59,44.74,426045.34,b0
765283665,6,968,0,0,25.87,93509.67,44.87,283420.97,b0
765268824,7,1014,0,0,25.75,93546.91,44.55,443482.03,b0
765287253,8,1060,0,0,25.69,93515.70,44.43,426045.34,b0
765270362,1,1107,0,0,26.02,93513.27,47.38,578367.69,b0
765269850,2,1153,0,0,25.90,93529.24,46.90,383664.28,b0
765286747,3,1199,0,0,26.27,93552.40,45.64,343970.44,b0
765279836,4,1245,0,0,25.78,93505.41,46.45,511616.28,b0
765271387,5,1291,0,0,25.99,93539.14,44.79,395672.34,b0
765283665,6,1337,0,0,26.05,93511.12,44.94,280624.84,b0
765268824,7,1383,0,0,25.95,93549.20,44.59,428720.97,b0
765287253,8,1429,0,0,25.90,93515.95,44.49,411906.69,b0
765270362,1,1476,0,0,25.95,93515.09,47.37,587324.38,b0
765269850,2,1522,0,0,25.88,93529.47,46.87,389798.25,b0
765286747,3,1568,0,0,26.28,93554.78,45.63,349607.38,b0
765279836,4,1614,0,0,25.87,93503.55,46.48,525397.63,b0
765271387,5,1660,0,0,26.09,93540.43,44.83,401489.91,b0
765283665,6,1706,0,0,26.15,93514.12,44.97,286513.72,b0
765268824,7,1752,0,0,26.08,93546.14,44.65,436673.78,b0
765287253,8,1799,0,0,26.03,93518.37,44.53,421572.66,b0
765270362,1,1845,0,0,25.93,93514.38,47.33,593451.19,b0
765269850,2,1891,0,0,25.89,93530.02,46.89,391587.00,b0
765286747,3,1937,0,0,26.28,93552.84,45.61,352132.06,b0
765279836,4,1983,0,0,25.91,93504.24,46.49,532362.88,b0
765271387,5,2029,0,0,26.14,93542.99,44.85,407238.03,b0
765283665,6,2076,0,0,26.21,93513.34,44.99,289429.06,b0
765268824,7,2122,0,0,26.13,93545.71,44.66,440619.63,b0
765287253,8,2168,0,0,26.08,93518.83,44.55,424984.44,b0
765270362,1,2214,0,0,25.93,93514.02,47.36,593451.19,b0
765269850,2,2260,0,0,25.89,93526.83,46.87,394301.13,b0
765286747,3,2306,0,0,26.28,93552.86,45.63,354325.25,b0
765279836,4,2353,0,0,25.95,93505.39,46.51,536969.06,b0
765271387,5,2399,0,0,26.18,93540.95,44.88,410420.84,b0
765283665,6,2445,0,0,26.24,93514.22,45.01,291157.25,b0
765268824,7,2491,0,0,26.15,93545.30,44.69,443482.03,b0
765287253,8,2537,0,0,26.12,93518.47,44.57,426577.78,b0
765270362,1,2583,0,0,25.93,93511.71,47.32,597607.25,b0
765269850,2,2629,0,0,25.90,93530.79,46.88,396361.53,b0
765286747,3,2676,0,0,26.30,93555.07,45.61,354325.25,b0
765279836,4,2722,0,0,25.96,93505.87,46.51,540797.44,b0
765271387,5,2768,0,0,26.20,93542.56,44.87,413403.31,b0
765283665,6,2814,0,0,26.25,93511.20,45.02,292154.06,b0
765268824,7,2860,0,0,26.18,93545.08,44.67,447552.44,b0
765287253,8,2906,0,0,26.14,93521.07,44.55,428183.16,b0
765270362,1,2953,0,0,25.93,93513.87,47.30,598130.81,b0
765269850,2,2999,0,0,25.90,93529.39,46.85,397515.53,b0
765286747,3,3045,0,0,26.30,93553.81,45.60,355432.16,b0
765279836,4,3091,0,0,25.98,93504.55,46.52,541655.63,b0
765271387,5,3137,0,0,26.21,93539.81,44.86,415415.81,b0
765283665,6,3183,0,0,26.26,93512.03,45.01,292154.06,b0
765268824,7,3229,0,0,26.19,93543.52,44.68,449912.13,b0
765287253,8,3275,0,0,26.15,93520.05,44.56,431157.91,b0
765270362,1,3322,0,0,25.94,93514.81,47.33,601291.81,b0
765269850,2,3368,0,0,25.90,93528.85,46.85,396131.53,b0
765286747,3,3414,0,0,26.30,93552.05,45.60,356545.97,b0
765279836,4,3460,0,0,25.99,93506.59,46.50,546862.50,b0
765271387,5,3506,0,0,26.22,93540.61,44.87,416429.44,b0
765283665,6,3552,0,0,26.27,93511.61,45.00,293915.03,b0
765268824,7,3598,0,0,26.20,93545.38,44.68,452296.81,b0
765287253,8,3644,0,0,26.16,93520.81,44.57,435837.41,b0
765270362,1,3691,0,0,25.94,93514.63,47.31,601821.94,b0
765269850,2,3737,0,0,25.91,93528.02,46.85,399609.75,b0
