id,index,millis,gas_index,mes_index,temperature,pressure,humidity,gas_resistance,status
765270362,1,738,0,0,22.18,93741.82,59.76,225252.97,b0
765269850,2,784,0,0,22.26,93765.64,58.98,143860.64,b0
765286747,3,830,0,0,22.65,93783.13,57.98,116310.77,b0
765279836,4,876,0,0,22.30,93743.50,58.09,191294.59,b0
765271387,5,922,0,0,22.39,93776.98,58.13,157975.94,b0
765283665,6,968,0,0,22.37,93749.04,58.59,144347.33,b0
765268824,7,1014,0,0,22.25,93791.60,58.11,139168.25,b0
765287253,8,1060,0,0,22.12,93750.38,58.15,173736.00,b0
765270362,1,1107,0,0,22.61,93754.17,59.91,219884.05,b0
765269850,2,1153,0,0,22.55,93774.06,59.04,138941.66,b0
765286747,3,1199,0,0,22.83,93789.58,58.01,110297.29,b0
765279836,4,1245,0,0,22.52,93743.62,58.19,184238.94,b0
765271387,5,1291,0,0,22.61,93780.33,58.22,152064.16,b0
765283665,6,1337,0,0,22.58,93748.89,58.67,140543.52,b0
765268824,7,1383,0,0,22.48,93793.77,58.20,137044.97,b0
765287253,8,1429,0,0,22.37,93751.45,58.25,169930.30,b0
765270362,1,1476,0,0,22.56,93754.84,59.90,218756.67,b0
765269850,2,1522,0,0,22.57,93772.94,59.03,138266.27,b0
765286747,3,1568,0,0,22.86,93789.83,58.01,110297.29,b0
765279836,4,1614,0,0,22.60,93744.31,58.22,184837.55,b0
765271387,5,1660,0,0,22.71,93779.41,58.25,151928.78,b0
765283665,6,1706,0,0,22.69,93750.30,58.71,140775.36,b0
765268824,7,1752,0,0,22.59,93793.19,58.26,137486.58,b0
765287253,8,1799,0,0,22.50,93751.63,58.31,169592.58,b0
765270362,1,1845,0,0,22.56,93755.15,59.91,218197.31,b0
765269850,2,1891,0,0,22.59,93773.82,59.04,139281.83,b0
765286747,3,1937,0,0,22.88,93791.76,58.03,110440.03,b0
765279836,4,1983,0,0,22.65,93743.87,58.22,184837.55,b0
765271387,5,2029,0,0,22.75,93779.70,58.30,151793.66,b0
765283665,6,2076,0,0,22.74,93751.16,58.71,141124.59,b0
765268824,7,2122,0,0,22.65,93794.52,58.31,138042.59,b0
765287253,8,2168,0,0,22.55,93750.04,58.33,169256.20,b0
765270362,1,2214,0,0,22.56,93753.04,59.89,218756.67,b0
765269850,2,2260,0,0,22.60,93773.95,59.03,138042.59,b0
765286747,3,2306,0,0,22.89,93790.58,58.02,110297.29,b0
765279836,4,2353,0,0,22.68,93744.67,58.23,185037.95,b0
765271387,5,2399,0,0,22.78,93781.27,58.31,152199.77,b0
765283665,6,2445,0,0,22.76,93751.12,58.71,140891.58,b0
765268824,7,2491,0,0,22.68,93793.26,58.32,138154.34,b0
765287253,8,2537,0,0,22.58,93752.57,58.36,169424.22,b0
765270362,1,2583,0,0,22.57,93754.02,59.88,218197.31,b0
765269850,2,2629,0,0,22.61,93771.88,59.00,139168.25,b0
765286747,3,2676,0,0,22.91,93789.95,58.00,110154.91,b0
765279836,4,2722,0,0,22.70,93744.48,58.23,185440.06,b0
765271387,5,2768,0,0,22.80,93780.39,58.30,152199.77,b0
765283665,6,2814,0,0,22.78,93751.83,58.72,141710.48,b0
765268824,7,2860,0,0,22.68,93790.77,58.34,138603.14,b0
765287253,8,2906,0,0,22.60,93752.30,58.35,169424.22,b0
765270362,1,2953,0,0,22.57,93754.06,59.86,218476.64,b0
765269850,2,2999,0,0,22.62,93772.64,59.00,138266.27,b0
765286747,3,3045,0,0,22.91,93790.32,57.99,110226.05,b0
765279836,4,3091,0,0,22.71,93744.24,58.23,185641.77,b0
765271387,5,3137,0,0,22.81,93780.13,58.30,152608.05,b0
765283665,6,3183,0,0,22.78,93749.78,58.72,141358.36,b0
765268824,7,3229,0,0,22.69,93792.13,58.34,138490.67,b0
765287253,8,3275,0,0,22.60,93753.59,58.36,170099.67,b0
765270362,1,3322,0,0,22.58,93754.16,59.85,218896.97,b0
765269850,2,3368,0,0,22.63,93772.55,58.96,138490.67,b0
765286747,3,3414,0,0,22.92,93789.14,57.95,110154.91,b0
765279836,4,3460,0,0,22.73,93746.20,58.21,184637.58,b0
765271387,5,3506,0,0,22.82,93781.48,58.30,152608.05,b0
765283665,6,3552,0,0,22.80,93748.95,58.71,140891.58,b0
765268824,7,3598,0,0,22.71,93791.20,58.34,138266.27,b0
765287253,8,3644,0,0,22.63,93754.45,58.37,170099.67,b0
765270362,1,3691,0,0,22.59,93754.75,59.83,218197.31,b0
765269850,2,3737,0,0,22.63,93772.07,58.95,139168.25,b0
765286747,3,3783,0,0,22.93,93791.40,57.95,110154.91,b0
765279836,4,3829,0,0,22.74,93745.38,58.21,185440.06,b0
765271387,5,3875,0,0,22.84,93780.05,58.27,152064.16,b0
765283665,6,3921,0,0,22.81,93752.30,58.70,140659.34,b0
765268824,7,3968,0,0,22.73,93794.05,58.34,137931.03,b0
765287253,8,4014,0,0,22.65,93752.99,58.35,169592.58,b0
765270362,1,4060,0,0,22.60,93752.66,59.81,219459.92,b0
765269850,2,4106,0,0,22.66,93774.00,58.95,138715.80,b0
765286747,3,4152,0,0,22.94,93791.46,57.93,110012.89,b0
765279836,4,4198,0,0,22.76,93744.88,58.20,185641.77,b0
765271387,5,4245,0,0,22.85,93781.09,58.24,152335.61,b0
765283665,6,4291,0,0,22.82,93749.99,58.68,141007.98,b0
765268824,7,4337,0,0,22.74,93791.96,58.35,137375.91,b0
765287253,8,4383,0,0,22.65,93752.13,58.35,168921.14,b0
765270362,1,4429,0,0,22.62,93755.54,59.79,217502.13,b0
765269850,2,4475,0,0,22.67,93773.25,58.92,138715.80,b0
765286747,3,4521,0,0,22.95,93790.98,57.93,110226.05,b0
765279836,4,4568,0,0,22.78,93746.95,58.17,184837.55,b0
765271387,5,4614,0,0,22.85,93780.75,58.24,151928.78,b0
765283665,6,4660,0,0,22.83,93749.91,58.66,140891.58,b0
765268824,7,4706,0,0,22.75,93794.17,58.34,137375.91,b0
765287253,8,4752,0,0,22.65,93752.70,58.33,169592.58,b0
765270362,1,4798,0,0,22.63,93754.91,59.76,219178.08,b0
765269850,2,4845,0,0,22.68,93774.02,58.91,138828.64,b0
765286747,3,4891,0,0,22.96,93791.20,57.89,109942.02,b0
765279836,4,4937,0,0,22.78,93746.65,58.16,184837.55,b0
765271387,5,4983,0,0,22.86,93780.80,58.22,152335.61,b0
765283665,6,5029,0,0,22.84,93751.48,58.65,140659.34,b0
765268824,7,5075,0,0,22.76,93794.02,58.33,138154.34,b0
765287253,8,5121,0,0,22.66,93753.28,58.30,169424.22,b0
765270362,1,5168,0,0,22.64,93755.36,59.75,218336.89,b0
765269850,2,5214,0,0,22.69,93773.37,58.91,138490.67,b0
765286747,3,5260,0,0,22.97,93790.93,57.89,110012.89,b0
765279836,4,5306,0,0,22.79,93746.20,58.13,185037.95,b0
765271387,5,5352,0,0,22.87,93780.91,58.22,152335.61,b0
765283665,6,5398,0,0,22.85,93752.67,58.62,139852.50,b0
765268824,7,5444,0,0,22.77,93790.52,58.31,138378.38,b0
765287253,8,5490,0,0,22.67,93751.95,58.30,168921.14,b0
765270362,1,5537,0,0,22.65,93753.84,59.74,218476.64,b0
765269850,2,5583,0,0,22.70,93774.35,58.90,138603.14,b0
765286747,3,5629,0,0,22.98,93791.39,57.89,109729.96,b0
765279836,4,5675,0,0,22.80,93745.41,58.13,184637.58,b0
765271387,5,5721,0,0,22.87,93780.79,58.21,152064.16,b0
765283665,6,5767,0,0,22.86,93750.27,58.62,140775.36,b0
765268824,7,5813,0,0,22.78,93790.79,58.31,137931.03,b0
765287253,8,5860,0,0,22.68,93754.11,58.28,168587.42,b0
765270362,1,5906,0,0,22.65,93754.40,59.71,218476.64,b0
765269850,2,5952,0,0,22.70,93773.16,58.86,138603.14,b0
765286747,3,5998,0,0,22.98,93791.22,57.86,109729.96,b0
765279836,4,6044,0,0,22.81,93747.26,58.09,185440.06,b0
765271387,5,6090,0,0,22.88,93780.15,58.18,152335.61,b0
765283665,6,6137,0,0,22.87,93751.99,58.58,140891.58,b0
765268824,7,6183,0,0,22.79,93790.52,58.27,137819.66,b0
765287253,8,6229,0,0,22.70,93753.70,58.27,168921.14,b0
765270362,1,6275,0,0,22.66,93753.94,59.70,217640.81,b0
765269850,2,6321,0,0,22.72,93773.77,58.85,138042.59,b0
765286747,3,6367,0,0,23.00,93791.51,57.84,109800.55,b0
765279836,4,6413,0,0,22.82,93746.09,58.08,184438.05,b0
765271387,5,6460,0,0,22.90,93783.01,58.17,151928.78,b0
765283665,6,6506,0,0,22.87,93750.93,58.57,139737.98,b0
765268824,7,6552,0,0,22.80,93790.58,58.29,137708.45,b0
765287253,8,6598,0,0,22.70,93753.93,58.27,168255.02,b0
765270362,1,6644,0,0,22.66,93753.48,59.68,216949.16,b0
765269850,2,6690,0,0,22.73,93774.73,58.83,138154.34,b0
765286747,3,6737,0,0,23.00,93792.97,57.84,109518.72,b0
765279836,4,6783,0,0,22.83,93745.63,58.06,184040.27,b0
765271387,5,6829,0,0,22.90,93782.16,58.15,152199.77,b0
765283665,6,6875,0,0,22.87,93750.80,58.56,140543.52,b0
765268824,7,6921,0,0,22.79,93789.84,58.27,137708.45,b0
765287253,8,6967,0,0,22.71,93752.37,58.24,168255.02,b0
765270362,1,7014,0,0,22.67,93754.81,59.65,217640.81,b0
765269850,2,7060,0,0,22.73,93774.45,58.80,138266.27,b0
765286747,3,7106,0,0,23.01,93791.55,57.82,109378.34,b0
765279836,4,7152,0,0,22.83,93745.45,58.05,185440.06,b0
765271387,5,7198,0,0,22.90,93781.80,58.13,151928.78,b0
765283665,6,7244,0,0,22.87,93749.95,58.55,140082.08,b0
765268824,7,7290,0,0,22.79,93791.24,58.26,137819.66,b0
765287253,8,7336,0,0,22.71,93754.48,58.22,167923.91,b0
765270362,1,7383,0,0,22.68,93754.64,59.64,217087.13,b0
765269850,2,7429,0,0,22.74,93775.17,58.78,137931.03,b0
765286747,3,7475,0,0,23.00,93790.31,57.81,109589.04,b0
765279836,4,7521,0,0,22.83,93746.05,58.03,184040.27,b0
765271387,5,7567,0,0,22.90,93783.21,58.12,151793.66,b0
765283665,6,7613,0,0,22.88,93751.38,58.54,140197.16,b0
765268824,7,7659,0,0,22.80,93791.30,58.25,137708.45,b0
765287253,8,7705,0,0,22.71,93753.29,58.20,168255.02,b0
765270362,1,7752,0,0,22.68,93753.63,59.63,216124.95,b0
765269850,2,7798,0,0,22.74,93775.39,58.76,137819.66,b0
765286747,3,7844,0,0,23.02,93795.07,57.80,109378.34,b0
765279836,4,7890,0,0,22.83,93745.50,57.99,184040.27,b0
765271387,5,7936,0,0,22.90,93781.55,58.09,151658.77,b0
765283665,6,7982,0,0,22.88,93750.19,58.52,139623.67,b0
765268824,7,8029,0,0,22.80,93790.06,58.23,137486.58,b0
765287253,8,8075,0,0,22.72,93754.38,58.21,168921.14,b0
765270362,1,8121,0,0,22.69,93754.59,59.63,217363.61,b0
765269850,2,8167,0,0,22.74,93774.15,58.74,137375.91,b0
765286747,3,8213,0,0,23.02,93793.25,57.80,109448.48,b0
765279836,4,8259,0,0,22.84,93746.32,58.00,185037.95,b0
765271387,5,8305,0,0,22.90,93781.20,58.09,151389.70,b0
765283665,6,8352,0,0,22.88,93750.22,58.50,139623.67,b0
765268824,7,8398,0,0,22.79,93789.61,58.20,137155.11,b0
765287253,8,8444,0,0,22.71,93753.30,58.18,168754.13,b0
765270362,1,8490,0,0,22.69,93754.59,59.59,217363.61,b0
765269850,2,8536,0,0,22.75,93775.26,58.73,137931.03,b0
765286747,3,8582,0,0,23.02,93791.85,57.76,109378.34,b0
765279836,4,8629,0,0,22.84,93745.20,57.96,184438.05,b0
765271387,5,8675,0,0,22.90,93780.32,58.05,151524.13,b0
765283665,6,8721,0,0,22.88,93749.97,58.48,139967.19,b0
765268824,7,8767,0,0,22.78,93789.25,58.21,137819.66,b0
765287253,8,8813,0,0,22.72,93754.38,58.15,169424.22,b0
765270362,1,8859,0,0,22.69,93754.78,59.57,217087.13,b0
765269850,2,8905,0,0,22.74,93774.69,58.71,137597.42,b0
765286747,3,8952,0,0,23.01,93789.48,57.72,109589.04,b0
765279836,4,8998,0,0,22.83,93745.48,57.95,184040.27,b0
765271387,5,9044,0,0,22.89,93783.80,58.05,151389.70,b0
765283665,6,9090,0,0,22.87,93750.66,58.44,140659.34,b0
765268824,7,9136,0,0,22.78,93791.18,58.18,138266.27,b0
765287253,8,9182,0,0,22.71,93754.52,58.13,167758.84,b0
765270362,1,9229,0,0,22.68,93753.31,59.57,217087.13,b0
765269850,2,9275,0,0,22.74,93774.69,58.67,137597.42,b0
765286747,3,9321,0,0,23.01,93791.38,57.71,109589.04,b0
765279836,4,9367,0,0,22.83,93745.63,57.91,184238.94,b0
765271387,5,9413,0,0,22.88,93780.84,58.02,151793.66,b0
765283665,6,9459,0,0,22.87,93750.83,58.44,139168.25,b0
765268824,7,9505,0,0,22.78,93790.07,58.18,137597.42,b0
765287253,8,9551,0,0,22.71,93754.88,58.13,168255.02,b0
765270362,1,9598,0,0,22.68,93755.96,59.54,217087.13,b0
765269850,2,9644,0,0,22.73,93774.07,58.66,137708.45,b0
765286747,3,9690,0,0,23.00,93791.35,57.69,109589.04,b0
765279836,4,9736,0,0,22.82,93746.27,57.87,184040.27,b0
765271387,5,9782,0,0,22.87,93779.57,58.02,151658.77,b0
