id,index,millis,gas_index,mes_index,temperature,pressure,humidity,gas_resistance,status
765286747,3,523,0,0,23.46,93803.54,50.07,302243.22,b0
765279836,4,569,0,0,23.26,93755.47,50.06,531948.06,b0
765271387,5,614,0,0,23.48,93788.51,49.62,433622.69,b0
765283665,6,660,0,0,23.54,93758.90,49.77,411162.41,b0
765268824,7,705,0,0,23.54,93796.53,49.57,489249.88,b0
765287253,8,751,0,0,23.50,93770.98,49.69,707915.69,b0
765270362,1,797,0,0,23.85,93759.05,52.58,540369.38,b0
765269850,2,843,0,0,23.82,93769.40,51.57,323743.28,b0
765286747,3,889,0,0,24.18,93792.31,50.33,297242.38,b0
765279836,4,935,0,0,24.07,93753.30,50.33,520589.72,b0
765271387,5,981,0,0,24.35,93788.60,49.91,413403.31,b0
765283665,6,1027,0,0,24.33,93761.20,50.07,402674.00,b0
765268824,7,1073,0,0,24.30,93804.54,49.90,478952.28,b0
765287253,8,1119,0,0,24.17,93773.13,50.00,692828.13,b0
765270362,1,1166,0,0,24.93,93768.47,52.88,542085.75,b0
765269850,2,1212,0,0,24.82,93791.59,51.85,324358.56,b0
765286747,3,1258,0,0,25.03,93811.10,50.58,295697.38,b0
765279836,4,1304,0,0,24.72,93767.73,50.57,522582.28,b0
765271387,5,1350,0,0,24.96,93799.80,50.14,413904.59,b0
765283665,6,1396,0,0,24.92,93769.56,50.29,401726.16,b0
765268824,7,1442,0,0,24.94,93808.34,50.09,482677.34,b0
765287253,8,1488,0,0,24.83,93777.94,50.22,694944.00,b0
765270362,1,1535,0,0,25.07,93779.40,52.95,543813.06,b0
765269850,2,1581,0,0,24.93,93795.63,51.94,324976.19,b0
765286747,3,1627,0,0,25.22,93815.32,50.64,294676.25,b0
765279836,4,1673,0,0,24.92,93767.91,50.64,521783.44,b0
765271387,5,1719,0,0,25.20,93801.56,50.25,416175.56,b0
765283665,6,1765,0,0,25.18,93772.38,50.40,400312.75,b0
765268824,7,1811,0,0,25.23,93812.40,50.23,483360.88,b0
765287253,8,1858,0,0,25.13,93779.37,50.31,696361.81,b0
765270362,1,1904,0,0,25.07,93775.45,52.92,542948.06,b0
765269850,2,1950,0,0,25.00,93795.55,51.95,324050.63,b0
765286747,3,1996,0,0,25.32,93815.48,50.67,295697.38,b0
765279836,4,2042,0,0,25.05,93768.09,50.69,522982.63,b0
765271387,5,2088,0,0,25.34,93802.52,50.27,416175.56,b0
765283665,6,2134,0,0,25.31,93770.38,50.43,399609.75,b0
765268824,7,2181,0,0,25.39,93812.33,50.26,484733.72,b0
765287253,8,2227,0,0,25.29,93780.29,50.35,695652.19,b0
765270362,1,2273,0,0,25.11,93778.14,52.87,547300.94,b0
765269850,2,2319,0,0,25.08,93795.96,51.91,327470.41,b0
765286747,3,2365,0,0,25.41,93815.48,50.65,294422.09,b0
765279836,4,2411,0,0,25.14,93770.20,50.66,523383.59,b0
765271387,5,2458,0,0,25.44,93802.66,50.27,416683.63,b0
765283665,6,2504,0,0,25.41,93771.02,50.45,397747.13,b0
765268824,7,2550,0,0,25.49,93811.20,50.25,485768.50,b0
765287253,8,2596,0,0,25.39,93782.86,50.31,696361.81,b0
