id,index,millis,gas_index,mes_index,temperature,pressure,humidity,gas_resistance,status
765271387,5,736,0,0,23.94,93462.11,53.21,988417.00,b0
765283665,6,782,0,0,24.09,93433.21,53.23,543813.06,b0
765268824,7,827,0,0,23.94,93470.81,53.65,977099.25,b0
765287253,8,873,0,0,23.93,93449.20,53.53,735368.06,b0
765270362,1,929,0,0,24.25,93445.44,53.78,1281602.00,b0
765269850,2,985,0,0,24.24,93450.27,53.40,794106.25,b0
765286747,3,1041,0,0,24.46,93478.02,52.35,800625.50,b0
765279836,4,1097,0,0,24.21,93432.13,52.84,1257985.25,b0
765271387,5,1154,0,0,25.79,93457.89,53.50,981312.88,b0
765283665,6,1211,0,0,25.94,93436.84,53.50,527427.25,b0
765268824,7,1267,0,0,25.77,93480.80,53.91,982725.50,b0
765287253,8,1313,0,0,25.59,93460.39,53.73,715333.56,b0
765270362,1,1370,0,0,26.20,93443.39,54.10,1297434.25,b0
765269850,2,1427,0,0,26.17,93446.61,53.68,795494.25,b0
765286747,3,1484,0,0,26.27,93473.91,52.61,800625.50,b0
765279836,4,1540,0,0,25.96,93428.30,53.07,1273235.87,b0
765271387,5,1597,0,0,26.89,93463.02,53.52,967406.69,b0
765283665,6,1654,0,0,26.88,93434.82,53.50,521384.94,b0
765268824,7,1710,0,0,26.77,93472.13,53.89,979904.31,b0
765287253,8,1756,0,0,26.61,93451.30,53.72,711605.31,b0
765270362,1,1813,0,0,27.31,93447.13,54.08,1301143.62,b0
765269850,2,1870,0,0,27.29,93456.84,53.68,792263.06,b0
765286747,3,1926,0,0,27.36,93479.73,52.58,790428.38,b0
765279836,4,1983,0,0,27.03,93434.16,53.06,1275615.12,b0
765271387,5,2040,0,0,27.38,93467.30,53.24,965354.69,b0
765283665,6,2096,0,0,27.41,93439.13,53.30,517041.16,b0
765268824,7,2153,0,0,27.34,93475.64,53.62,968092.63,b0
765287253,8,2199,0,0,27.19,93451.36,53.48,703538.31,b0
765270362,1,2256,0,0,27.78,93451.66,53.76,1296202.50,b0
765269850,2,2313,0,0,27.78,93457.41,53.41,795031.06,b0
765286747,3,2369,0,0,27.83,93483.11,52.27,788147.00,b0
765279836,4,2426,0,0,27.51,93438.05,52.78,1274424.37,b0
765271387,5,2483,0,0,27.65,93468.23,52.80,953223.19,b0
765283665,6,2539,0,0,27.70,93443.03,52.90,511616.28,b0
765268824,7,2596,0,0,27.63,93478.37,53.19,966037.75,b0
765287253,8,2642,0,0,27.48,93453.38,53.03,699931.63,b0
765270362,1,2699,0,0,28.01,93452.70,53.30,1296202.50,b0
765269850,2,2755,0,0,28.05,93457.48,52.90,792723.06,b0
765286747,3,2812,0,0,28.10,93486.53,51.84,780041.88,b0
765279836,4,2869,0,0,27.78,93438.73,52.35,1253366.00,b0
765271387,5,2925,0,0,27.83,93468.75,52.31,946614.31,b0
765283665,6,2982,0,0,27.85,93440.05,52.44,510087.19,b0
765268824,7,3039,0,0,27.81,93478.36,52.73,959925.00,b0
765287253,8,3085,0,0,27.63,93454.45,52.59,696361.81,b0
765270362,1,3142,0,0,28.15,93454.73,52.74,1284012.50,b0
765269850,2,3198,0,0,28.22,93464.65,52.35,789058.00,b0
765286747,3,3255,0,0,28.26,93485.66,51.32,776051.56,b0
765279836,4,3312,0,0,27.97,93441.71,51.90,1260307.75,b0
765271387,5,3368,0,0,27.94,93470.30,51.80,940744.13,b0
765283665,6,3425,0,0,27.94,93441.91,51.97,507433.09,b0
765268824,7,3481,0,0,27.91,93483.36,52.19,957904.56,b0
765287253,8,3528,0,0,27.73,93455.41,52.10,699931.63,b0
765270362,1,3584,0,0,28.23,93457.72,52.19,1296202.50,b0
765269850,2,3641,0,0,28.33,93462.71,51.80,779596.50,b0
765286747,3,3698,0,0,28.37,93489.19,50.82,771665.44,b0
765279836,4,3754,0,0,28.07,93442.38,51.38,1263807.50,b0
765271387,5,3811,0,0,28.02,93473.07,51.27,934306.56,b0
765283665,6,3868,0,0,28.02,93444.79,51.48,502576.69,b0
765268824,7,3924,0,0,27.98,93480.83,51.68,953889.13,b0
765287253,8,3970,0,0,27.82,93456.48,51.58,693532.00,b0
765270362,1,4027,0,0,28.28,93460.03,51.62,1290078.75,b0
765269850,2,4084,0,0,28.39,93465.19,51.22,780487.81,b0
765286747,3,4141,0,0,28.43,93489.30,50.29,769057.44,b0
765279836,4,4197,0,0,28.24,93445.05,50.38,1243095.62,b0
765271387,5,4254,0,0,28.12,93473.80,50.77,929852.44,b0
765283665,6,4310,0,0,28.11,93445.02,51.00,500000.00,b0
765268824,7,4367,0,0,28.07,93480.89,51.17,952558.13,b0
765287253,8,4413,0,0,27.91,93458.48,51.08,690725.13,b0
765270362,1,4470,0,0,28.35,93459.07,51.12,1288860.87,b0
765269850,2,4527,0,0,28.48,93463.30,50.69,782725.00,b0
765286747,3,4583,0,0,28.53,93491.90,49.79,764321.69,b0
765279836,4,4640,0,0,28.33,93441.89,49.94,1248780.50,b0
765271387,5,4697,0,0,28.20,93473.40,50.32,927956.50,b0
765283665,6,4753,0,0,28.19,93444.99,50.57,498175.63,b0
765268824,7,4810,0,0,28.14,93479.80,50.68,950568.56,b0
765287253,8,4856,0,0,27.99,93457.77,50.61,682439.19,b0
765270362,1,4913,0,0,28.42,93457.42,50.63,1287645.37,b0
765269850,2,4970,0,0,28.57,93464.84,50.18,776492.88,b0
765286747,3,5026,0,0,28.61,93492.09,49.32,758378.06,b0
765279836,4,5083,0,0,28.43,93441.94,49.50,1243095.62,b0
765271387,5,5139,0,0,28.28,93470.41,49.89,922938.25,b0
765283665,6,5196,0,0,28.27,93446.18,50.14,495643.75,b0
765268824,7,5253,0,0,28.21,93479.60,50.26,947271.06,b0
765287253,8,5299,0,0,28.06,93459.66,50.17,681077.50,b0
765270362,1,5356,0,0,28.48,93460.69,50.18,1275615.12,b0
765269850,2,5412,0,0,28.65,93465.99,49.73,782725.00,b0
765286747,3,5469,0,0,28.69,93490.28,48.93,752941.19,b0
765279836,4,5526,0,0,28.50,93442.21,49.13,1243095.62,b0
765271387,5,5582,0,0,28.35,93470.44,49.50,922938.25,b0
765283665,6,5639,0,0,28.33,93442.23,49.75,490656.44,b0
765268824,7,5696,0,0,28.27,93481.31,49.84,949907.25,b0
765287253,8,5742,0,0,28.11,93458.80,49.78,679045.06,b0
765270362,1,5799,0,0,28.53,93459.75,49.82,1269683.87,b0
765269850,2,5855,0,0,28.70,93466.62,49.33,771665.44,b0
765286747,3,5912,0,0,28.75,93488.42,48.53,747445.25,b0
765279836,4,5968,0,0,28.57,93442.26,48.78,1236341.62,b0
765271387,5,6025,0,0,28.41,93470.51,49.12,917974.00,b0
765283665,6,6082,0,0,28.37,93441.95,49.37,491362.75,b0
765268824,7,6138,0,0,28.32,93482.13,49.43,938803.56,b0
765287253,8,6184,0,0,28.17,93459.41,49.38,678370.31,b0
765270362,1,6241,0,0,28.58,93459.53,49.46,1274424.37,b0
765269850,2,6298,0,0,28.76,93466.57,48.95,775610.69,b0
765286747,3,6355,0,0,28.82,93489.24,48.17,743375.69,b0
765279836,4,6411,0,0,28.62,93444.41,48.41,1237462.25,b0
765271387,5,6468,0,0,28.46,93471.60,48.76,918591.63,b0
765283665,6,6525,0,0,28.42,93443.91,49.02,490304.03,b0
765268824,7,6581,0,0,28.37,93483.06,49.07,941392.81,b0
765287253,8,6627,0,0,28.22,93462.10,48.99,675684.56,b0
765270362,1,6684,0,0,28.62,93462.14,49.13,1269683.87,b0
765269850,2,6741,0,0,28.81,93467.89,48.61,773852.25,b0
765286747,3,6797,0,0,28.87,93488.58,47.85,740955.13,b0
765279836,4,6854,0,0,28.68,93443.82,48.08,1231879.75,b0
765271387,5,6911,0,0,28.51,93472.20,48.43,916126.13,b0
765283665,6,6967,0,0,28.47,93444.41,48.71,487155.09,b0
765268824,7,7024,0,0,28.41,93481.44,48.72,936228.56,b0
765287253,8,7070,0,0,28.26,93460.48,48.65,676354.00,b0
765270362,1,7127,0,0,28.66,93460.40,48.82,1273235.87,b0
765269850,2,7184,0,0,28.86,93467.96,48.25,773413.88,b0
765286747,3,7240,0,0,28.91,93488.41,47.53,737752.19,b0
765279836,4,7297,0,0,28.73,93445.77,47.78,1224148.25,b0
765271387,5,7354,0,0,28.56,93473.26,48.11,908808.50,b0
765283665,6,7410,0,0,28.51,93443.59,48.38,486807.69,b0
765268824,7,7467,0,0,28.46,93482.40,48.37,926696.81,b0
765287253,8,7513,0,0,28.30,93459.96,48.30,679721.19,b0
765270362,1,7570,0,0,28.69,93460.06,48.51,1270865.62,b0
765269850,2,7627,0,0,28.90,93471.35,47.92,769924.81,b0
765286747,3,7683,0,0,28.96,93489.70,47.21,732999.31,b0
765279836,4,7740,0,0,28.78,93445.72,47.44,1225246.75,b0
765271387,5,7796,0,0,28.59,93473.15,47.80,911843.25,b0
765283665,6,7853,0,0,28.54,93443.90,48.09,487502.97,b0
765268824,7,7910,0,0,28.49,93483.27,48.04,929219.63,b0
765287253,8,7956,0,0,28.32,93459.15,48.00,673020.06,b0
765270362,1,8013,0,0,28.72,93458.13,48.21,1269683.87,b0
765269850,2,8069,0,0,28.93,93468.17,47.61,771665.44,b0
765286747,3,8126,0,0,29.00,93490.04,46.92,731428.56,b0
765279836,4,8183,0,0,28.82,93445.09,47.15,1221957.00,b0
765271387,5,8239,0,0,28.63,93473.43,47.49,913062.88,b0
765283665,6,8296,0,0,28.57,93442.09,47.78,486114.41,b0
