id,index,millis,gas_index,mes_index,temperature,pressure,humidity,gas_resistance,status
765286747,3,527,0,0,27.35,93463.42,46.79,794568.38,b0
765279836,4,572,0,0,27.22,93415.85,46.72,1340752.87,b0
765271387,5,618,0,0,26.93,93443.09,47.66,1056487.00,b0
765283665,6,664,0,0,26.93,93417.73,48.04,607174.63,b0
765268824,7,709,0,0,26.89,93454.17,47.59,1161656.25,b0
765287253,8,755,0,0,26.76,93431.61,48.02,830326.38,b0
765270362,1,801,0,0,27.99,93421.34,49.12,1467574.37,b0
765269850,2,846,0,0,28.06,93425.38,48.46,873906.56,b0
765286747,3,892,0,0,28.10,93456.61,47.01,736955.75,b0
765279836,4,938,0,0,28.07,93417.27,46.88,1263807.50,b0
765271387,5,985,0,0,27.84,93449.41,47.83,967406.69,b0
765283665,6,1031,0,0,27.76,93420.10,48.22,565433.44,b0
765268824,7,1077,0,0,27.69,93457.91,47.74,1084171.50,b0
765287253,8,1123,0,0,27.48,93436.69,48.16,780041.88,b0
765270362,1,1169,0,0,29.12,93434.45,49.30,1433671.62,b0
765269850,2,1215,0,0,29.12,93443.82,48.65,845756.75,b0
765286747,3,1262,0,0,29.01,93472.69,47.08,709386.94,b0
765279836,4,1308,0,0,28.78,93428.22,46.99,1225246.75,b0
765271387,5,1354,0,0,28.49,93453.73,47.92,943996.31,b0
765283665,6,1400,0,0,28.40,93425.09,48.30,539515.25,b0
765268824,7,1446,0,0,28.38,93462.66,47.81,1058124.50,b0
765287253,8,1492,0,0,28.18,93441.47,48.21,748264.50,b0
765270362,1,1539,0,0,29.28,93442.23,49.20,1398429.50,b0
765269850,2,1585,0,0,29.27,93446.16,48.58,829821.69,b0
765286747,3,1631,0,0,29.23,93472.73,47.02,686557.19,b0
765279836,4,1677,0,0,29.01,93425.35,46.95,1195214.50,b0
765271387,5,1723,0,0,28.78,93457.08,47.81,914285.69,b0
765283665,6,1769,0,0,28.69,93428.31,48.25,517825.53,b0
765268824,7,1815,0,0,28.69,93463.23,47.73,1018652.06,b0
765287253,8,1861,0,0,28.49,93442.93,48.14,719101.13,b0
765270362,1,1908,0,0,29.29,93442.62,48.95,1370358.00,b0
765269850,2,1954,0,0,29.36,93449.79,48.38,804873.25,b0
765286747,3,2000,0,0,29.36,93475.42,46.80,670376.44,b0
765279836,4,2046,0,0,29.16,93427.31,46.82,1178705.00,b0
765271387,5,2092,0,0,28.94,93455.76,47.66,881239.25,b0
765283665,6,2138,0,0,28.86,93429.05,48.10,502576.69,b0
765268824,7,2184,0,0,28.86,93462.90,47.55,994899.19,b0
765287253,8,2230,0,0,28.66,93445.76,47.95,699214.75,b0
765270362,1,2277,0,0,29.33,93441.98,48.67,1351369.12,b0
765269850,2,2323,0,0,29.43,93449.98,48.10,782725.00,b0
765286747,3,2369,0,0,29.47,93475.52,46.62,652437.06,b0
765279836,4,2415,0,0,29.27,93429.01,46.61,1147982.12,b0
765271387,5,2461,0,0,29.04,93454.91,47.41,866694.88,b0
765283665,6,2507,0,0,28.97,93427.63,47.87,485768.50,b0
765268824,7,2553,0,0,28.98,93462.91,47.34,970846.19,b0
765287253,8,2600,0,0,28.79,93445.35,47.72,678370.31,b0
765270362,1,2646,0,0,29.36,93442.16,48.33,1317465.37,b0
765269850,2,2692,0,0,29.50,93451.01,47.78,769057.44,b0
765286747,3,2738,0,0,29.52,93476.45,46.37,637807.56,b0
765279836,4,2784,0,0,29.34,93428.70,46.36,1128063.87,b0
765271387,5,2830,0,0,29.12,93456.72,47.17,849440.06,b0
765283665,6,2877,0,0,29.04,93429.82,47.65,475947.00,b0
765268824,7,2923,0,0,29.07,93465.08,47.08,949246.81,b0
765287253,8,2969,0,0,28.86,93444.92,47.45,665151.00,b0
765270362,1,3015,0,0,29.38,93443.89,48.02,1302384.75,b0
765269850,2,3061,0,0,29.53,93452.95,47.49,761763.06,b0
765286747,3,3107,0,0,29.56,93476.95,46.06,625534.50,b0
765279836,4,3153,0,0,29.38,93429.30,46.13,1105234.75,b0
765271387,5,3200,0,0,29.17,93457.13,46.88,829821.69,b0
765283665,6,3246,0,0,29.09,93427.29,47.42,463348.41,b0
765268824,7,3292,0,0,29.14,93466.63,46.84,927956.50,b0
765287253,8,3338,0,0,28.93,93446.07,47.21,646260.63,b0
765270362,1,3384,0,0,29.41,93444.63,47.67,1273235.87,b0
765269850,2,3430,0,0,29.57,93450.82,47.15,748264.50,b0
765286747,3,3477,0,0,29.60,93476.41,45.78,610432.19,b0
765279836,4,3523,0,0,29.44,93430.14,45.84,1087626.12,b0
765271387,5,3569,0,0,29.22,93456.97,46.62,810126.56,b0
765283665,6,3615,0,0,29.14,93429.26,47.15,451997.34,b0
765268824,7,3661,0,0,29.19,93466.52,46.56,910626.94,b0
765287253,8,3707,0,0,28.97,93443.55,46.95,634841.94,b0
765270362,1,3754,0,0,29.44,93444.29,47.34,1263807.50,b0
765269850,2,3800,0,0,29.62,93452.14,46.79,738550.31,b0
765286747,3,3846,0,0,29.65,93478.80,45.52,599707.19,b0
765279836,4,3892,0,0,29.50,93430.16,45.59,1068893.50,b0
765271387,5,3938,0,0,29.28,93459.01,46.36,796887.19,b0
765283665,6,3984,0,0,29.19,93429.93,46.91,442619.41,b0
765268824,7,4030,0,0,29.24,93467.45,46.30,893932.75,b0
765287253,8,4076,0,0,29.01,93444.60,46.68,622681.69,b0
765270362,1,4123,0,0,29.47,93446.26,47.05,1236341.62,b0
765269850,2,4169,0,0,29.67,93451.28,46.47,729864.56,b0
765286747,3,4215,0,0,29.70,93477.16,45.27,588844.19,b0
765279836,4,4261,0,0,29.55,93430.43,45.34,1046767.19,b0
765271387,5,4307,0,0,29.32,93456.78,46.10,782276.56,b0
765283665,6,4353,0,0,29.23,93428.59,46.66,439484.97,b0
765268824,7,4399,0,0,29.28,93469.26,46.05,876149.75,b0
765287253,8,4446,0,0,29.05,93444.22,46.42,608256.63,b0
765270362,1,4492,0,0,29.50,93445.18,46.75,1218684.87,b0
765269850,2,4538,0,0,29.69,93451.59,46.15,714584.81,b0
765286747,3,4584,0,0,29.73,93476.95,45.01,577878.13,b0
765279836,4,4630,0,0,29.60,93431.27,45.09,1035651.06,b0
765271387,5,4676,0,0,29.36,93456.35,45.86,772101.81,b0
765283665,6,4722,0,0,29.25,93429.20,46.43,431703.22,b0
765268824,7,4769,0,0,29.31,93465.57,45.81,861771.50,b0
765287253,8,4815,0,0,29.10,93444.76,46.16,597607.25,b0
765270362,1,4861,0,0,29.52,93444.05,46.50,1199414.37,b0
765269850,2,4907,0,0,29.73,93451.76,45.86,708650.50,b0
765286747,3,4953,0,0,29.76,93476.88,44.79,571109.88,b0
765279836,4,4999,0,0,29.63,93429.84,44.87,1014866.19,b0
765271387,5,5046,0,0,29.40,93456.44,45.60,757116.44,b0
765283665,6,5092,0,0,29.29,93429.21,46.17,423140.50,b0
765268824,7,5138,0,0,29.34,93466.80,45.57,847331.38,b0
765287253,8,5184,0,0,29.13,93446.48,45.93,584808.69,b0
765270362,1,5230,0,0,29.54,93444.70,46.26,1192083.87,b0
765269850,2,5276,0,0,29.75,93452.76,45.58,697785.38,b0
765286747,3,5323,0,0,29.79,93478.10,44.57,566841.94,b0
765279836,4,5369,0,0,29.66,93428.91,44.63,994174.75,b0
765271387,5,5415,0,0,29.43,93457.93,45.37,746627.75,b0
765283665,6,5461,0,0,29.32,93429.54,45.97,414910.84,b0
765268824,7,5507,0,0,29.37,93466.74,45.35,835918.38,b0
765287253,8,5553,0,0,29.16,93443.93,45.72,583808.44,b0
765270362,1,5600,0,0,29.57,93443.61,46.00,1175660.12,b0
765269850,2,5646,0,0,29.78,93451.27,45.35,688634.81,b0
765286747,3,5692,0,0,29.81,93478.33,44.35,557127.31,b0
765279836,4,5738,0,0,29.67,93427.77,44.39,994899.19,b0
765271387,5,5784,0,0,29.45,93455.95,45.15,737752.19,b0
765283665,6,5830,0,0,29.34,93429.89,45.74,409927.94,b0
765268824,7,5876,0,0,29.40,93466.49,45.16,824808.69,b0
765287253,8,5922,0,0,29.18,93445.61,45.53,564965.50,b0
765270362,1,5969,0,0,29.58,93441.55,45.79,1162645.50,b0
765269850,2,6015,0,0,29.79,93450.98,45.07,680398.69,b0
765286747,3,6061,0,0,29.82,93477.84,44.14,550833.81,b0
765279836,4,6107,0,0,29.71,93429.75,44.19,976400.50,b0
765271387,5,6153,0,0,29.49,93458.68,44.96,729085.06,b0
765283665,6,6199,0,0,29.36,93429.38,45.54,401489.91,b0
765268824,7,6245,0,0,29.41,93467.29,44.95,810607.56,b0
765287253,8,6291,0,0,29.21,93447.31,45.32,558951.94,b0
765270362,1,6338,0,0,29.58,93441.37,45.60,1143176.12,b0
765269850,2,6384,0,0,29.81,93452.84,44.84,673684.19,b0
765286747,3,6430,0,0,29.84,93477.72,43.93,542948.06,b0
765279836,4,6476,0,0,29.72,93428.92,43.99,964672.63,b0
765271387,5,6522,0,0,29.50,93457.32,44.73,717589.38,b0
765283665,6,6568,0,0,29.37,93427.89,45.34,399609.75,b0
765268824,7,6614,0,0,29.42,93468.59,44.73,800625.50,b0
765287253,8,6661,0,0,29.21,93446.63,45.11,558494.69,b0
765270362,1,6707,0,0,29.59,93443.05,45.38,1134626.00,b0
765269850,2,6753,0,0,29.82,93452.36,44.61,665151.00,b0
765286747,3,6799,0,0,29.85,93477.98,43.74,532362.88,b0
765279836,4,6845,0,0,29.75,93431.40,43.79,948587.31,b0
765271387,5,6891,0,0,29.51,93457.06,44.55,709386.94,b0
765283665,6,6938,0,0,29.38,93430.45,45.14,395672.34,b0
765268824,7,6984,0,0,29.44,93469.02,44.57,789058.00,b0
765287253,8,7030,0,0,29.22,93447.38,44.94,545551.44,b0
765270362,1,7076,0,0,29.60,93442.20,45.15,1124348.12,b0
765269850,2,7122,0,0,29.83,93453.48,44.39,660006.44,b0
765286747,3,7168,0,0,29.87,93477.85,43.56,532362.88,b0
765279836,4,7214,0,0,29.77,93431.34,43.59,944649.44,b0
765271387,5,7261,0,0,29.53,93457.20,44.36,702814.00,b0
765283665,6,7307,0,0,29.39,93429.49,44.97,389798.25,b0
765268824,7,7353,0,0,29.44,93466.70,44.38,785426.63,b0
765287253,8,7399,0,0,29.23,93446.70,44.75,539942.00,b0
765270362,1,7445,0,0,29.61,93442.66,44.96,1121577.25,b0
765269850,2,7491,0,0,29.84,93453.35,44.15,653686.56,b0
765286747,3,7538,0,0,29.88,93477.90,43.38,526613.50,b0
765279836,4,7584,0,0,29.79,93430.76,43.41,931120.69,b0
765271387,5,7630,0,0,29.54,93456.91,44.16,699214.75,b0
765283665,6,7676,0,0,29.40,93430.73,44.74,385179.63,b0
765268824,7,7722,0,0,29.46,93467.48,44.20,774730.50,b0
765287253,8,7768,0,0,29.25,93445.18,44.58,536969.06,b0
765270362,1,7815,0,0,29.62,93442.00,44.79,1104340.75,b0
765269850,2,7861,0,0,29.86,93452.19,43.95,648717.13,b0
765286747,3,7907,0,0,29.89,93477.41,43.22,517825.53,b0
765279836,4,7953,0,0,29.81,93430.86,43.23,919829.31,b0
765271387,5,7999,0,0,29.56,93455.78,44.00,691424.69,b0
765283665,6,8045,0,0,29.41,93429.38,44.59,377511.53,b0
765268824,7,8091,0,0,29.47,93469.16,44.02,764749.81,b0
