id,index,millis,gas_index,mes_index,temperature,pressure,humidity,gas_resistance,status
765274459,1,740,0,0,23.14,93510.93,52.02,47690.02,b0
765272923,2,786,0,0,23.17,93528.41,52.17,43835.62,b0
765271642,3,832,0,0,23.21,93496.39,51.40,71269.48,b0
765289819,4,878,0,0,23.55,93509.92,50.34,44568.25,b0
765281116,5,925,0,0,23.58,93547.06,49.46,46817.85,b0
765280092,6,971,0,0,23.59,93546.07,49.24,41693.81,b0
765271896,7,1017,0,0,23.55,93541.44,50.69,43971.14,b0
765285466,8,1063,0,0,23.19,93510.88,50.62,62454.26,b0
765274459,1,1109,0,0,23.76,93521.91,52.17,47504.18,b0
765272923,2,1155,0,0,23.72,93540.59,52.34,43434.00,b0
765271642,3,1201,0,0,23.66,93502.15,51.54,70445.79,b0
765289819,4,1248,0,0,23.93,93515.13,50.48,45519.20,b0
765281116,5,1294,0,0,23.95,93548.99,49.61,48948.37,b0
765280092,6,1340,0,0,23.95,93547.48,49.39,42780.75,b0
765271896,7,1386,0,0,23.94,93546.34,50.84,44061.96,b0
765285466,8,1432,0,0,23.61,93514.38,50.76,62135.92,b0
765274459,1,1478,0,0,23.85,93523.55,52.25,48752.62,b0
765272923,2,1525,0,0,23.87,93540.38,52.39,44336.68,b0
765271642,3,1571,0,0,23.84,93504.65,51.62,72357.27,b0
765289819,4,1617,0,0,24.12,93518.70,50.55,46562.39,b0
765281116,5,1663,0,0,24.14,93552.13,49.68,50039.09,b0
765280092,6,1709,0,0,24.16,93550.92,49.45,43880.70,b0
765271896,7,1755,0,0,24.15,93546.20,50.94,45422.29,b0
765285466,8,1801,0,0,23.84,93518.10,50.84,64000.00,b0
765274459,1,1848,0,0,23.91,93523.19,52.27,50127.28,b0
765272923,2,1894,0,0,23.96,93541.67,52.42,45086.30,b0
765271642,3,1940,0,0,23.95,93504.75,51.63,74375.36,b0
765289819,4,1986,0,0,24.22,93518.82,50.57,48475.67,b0
765281116,5,2032,0,0,24.25,93552.75,49.73,51148.85,b0
765280092,6,2078,0,0,24.27,93550.26,49.49,44661.55,b0
765271896,7,2124,0,0,24.27,93545.74,50.98,46209.39,b0
765285466,8,2170,0,0,23.96,93517.56,50.87,65024.13,b0
765274459,1,2217,0,0,23.95,93524.45,52.27,51148.85,b0
765272923,2,2263,0,0,24.01,93542.84,52.41,46059.73,b0
765271642,3,2309,0,0,24.01,93506.17,51.61,75694.85,b0
765289819,4,2355,0,0,24.29,93520.59,50.57,49373.19,b0
765281116,5,2401,0,0,24.32,93552.46,49.72,51926.98,b0
765280092,6,2447,0,0,24.34,93551.26,49.50,45714.29,b0
765271896,7,2493,0,0,24.35,93546.60,50.97,47850.47,b0
765285466,8,2540,0,0,24.05,93519.38,50.90,65877.51,b0
765274459,1,2586,0,0,23.96,93523.38,52.20,52308.95,b0
765272923,2,2632,0,0,24.04,93541.88,52.37,47770.11,b0
765271642,3,2678,0,0,24.05,93507.13,51.58,77062.01,b0
765289819,4,2724,0,0,24.33,93521.05,50.56,50039.09,b0
765281116,5,2770,0,0,24.37,93554.64,49.71,52859.80,b0
765280092,6,2816,0,0,24.39,93550.28,49.47,46259.49,b0
765271896,7,2863,0,0,24.40,93547.27,50.93,48558.42,b0
765285466,8,2909,0,0,24.10,93519.36,50.85,67439.41,b0
765274459,1,2955,0,0,23.98,93522.30,52.18,53355.57,b0
765272923,2,3001,0,0,24.06,93540.87,52.30,48420.66,b0
765271642,3,3047,0,0,24.09,93507.78,51.53,78335.38,b0
765289819,4,3093,0,0,24.37,93521.56,50.52,50935.14,b0
765281116,5,3140,0,0,24.41,93554.38,49.67,54065.47,b0
765280092,6,3186,0,0,24.43,93551.16,49.46,47610.19,b0
765271896,7,3232,0,0,24.43,93546.16,50.91,49316.12,b0
765285466,8,3278,0,0,24.14,93518.23,50.83,68412.62,b0
765274459,1,3324,0,0,24.00,93523.73,52.13,53997.05,b0
765272923,2,3370,0,0,24.09,93541.91,52.26,49259.19,b0
765271642,3,3417,0,0,24.12,93508.05,51.47,79503.11,b0
765289819,4,3463,0,0,24.39,93521.76,50.46,51895.40,b0
765281116,5,3509,0,0,24.43,93553.20,49.64,54514.48,b0
765280092,6,3555,0,0,24.46,93550.70,49.41,48393.20,b0
765271896,7,3601,0,0,24.46,93545.50,50.86,50274.94,b0
765285466,8,3647,0,0,24.17,93520.29,50.77,69301.57,b0
765274459,1,3694,0,0,24.00,93521.75,52.04,55399.27,b0
765272923,2,3740,0,0,24.10,93542.70,52.17,50334.25,b0
765271642,3,3786,0,0,24.13,93506.27,51.40,81166.77,b0
765289819,4,3832,0,0,24.41,93522.59,50.41,52599.14,b0
765281116,5,3878,0,0,24.45,93554.17,49.58,55834.24,b0
765280092,6,3924,0,0,24.48,93551.13,49.37,49174.03,b0
765271896,7,3970,0,0,24.48,93547.82,50.81,50813.82,b0
765285466,8,4016,0,0,24.20,93517.93,50.71,70855.24,b0
765274459,1,4063,0,0,24.02,93521.92,51.98,56387.66,b0
765272923,2,4109,0,0,24.11,93544.38,52.11,51240.99,b0
765271642,3,4155,0,0,24.15,93505.84,51.33,82740.79,b0
765289819,4,4201,0,0,24.43,93522.05,50.33,53489.34,b0
765281116,5,4247,0,0,24.47,93554.56,49.53,56164.98,b0
765280092,6,4293,0,0,24.50,93550.48,49.31,50156.74,b0
765271896,7,4339,0,0,24.50,93548.38,50.75,51644.14,b0
765285466,8,4385,0,0,24.22,93519.85,50.65,71628.43,b0
765274459,1,4432,0,0,24.02,93521.21,51.91,57450.63,b0
765272923,2,4478,0,0,24.13,93543.91,52.04,51926.98,b0
765271642,3,4524,0,0,24.16,93506.84,51.26,83632.80,b0
765289819,4,4570,0,0,24.44,93523.52,50.27,54306.32,b0
765281116,5,4616,0,0,24.48,93552.64,49.47,57450.63,b0
765280092,6,4662,0,0,24.51,93551.34,49.26,50783.57,b0
765271896,7,4709,0,0,24.51,93547.27,50.71,52599.14,b0
765285466,8,4755,0,0,24.23,93520.18,50.60,72851.45,b0
765274459,1,4801,0,0,24.03,93520.29,51.83,58514.29,b0
